Year,Brand,Number_of_Stores
2007,Cafe Amazon,230
2010,Cafe Amazon,391
2011,Cafe Amazon,634
2015,Cafe Amazon,700
2017,Cafe Amazon,2000
2019,Cafe Amazon,2900
2021,Cafe Amazon,3628
2022,Cafe Amazon,3895
2023,Cafe Amazon,4181
2024,Cafe Amazon,4339
2025,Cafe Amazon,4462
2026,Cafe Amazon,4830
1998,Starbucks,1
2010,Starbucks,133
2011,Starbucks,141
2012,Starbucks,155
2013,Starbucks,174
2014,Starbucks,203
2015,Starbucks,237
2016,Starbucks,273
2017,Starbucks,312
2018,Starbucks,352
2019,Starbucks,392
2020,Starbucks,405
2021,Starbucks,425
2022,Starbucks,446
2023,Starbucks,474
2024,Starbucks,513
2025,Starbucks,550
2026,Starbucks,574
